City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Aitape,PG,-3.1374,142.3475,83.25,74,100,4.83,overcast clouds
131,Balaka,MW,-14.9793,34.9558,64.29,95,9,3.09,clear sky
132,Thompson,CA,55.7435,-97.8558,-7.44,71,100,4.61,overcast clouds
133,Kapaa,US,22.0752,-159.319,79.2,70,14,4.0,few clouds
134,Seymchan,RU,62.8833,152.4333,-29.09,94,38,1.54,scattered clouds
135,Wanaka,NZ,-44.7,169.15,65.71,51,100,2.53,overcast clouds
136,Jardim,BR,-21.4803,-56.1381,71.76,77,83,4.03,broken clouds
137,Hambantota,LK,6.1241,81.1185,77.34,88,40,4.61,scattered clouds
138,Kiama,AU,-34.6833,150.8667,76.24,63,42,15.43,light rain
139,Hasaki,JP,35.7333,140.8333,45.28,37,6,9.13,clear sky
140,Akcaabat,TR,41.0212,39.5715,42.67,70,75,4.61,broken clouds
141,Alexandria,EG,31.2156,29.9553,51.76,82,0,3.44,clear sky
142,Castro,BR,-24.7911,-50.0119,63.09,80,4,2.48,clear sky
143,Sao Filipe,CV,14.8961,-24.4956,72.61,76,0,5.19,clear sky
144,Bathsheba,BB,13.2167,-59.5167,79.41,78,75,14.97,broken clouds
145,Huamachuco,PE,-7.8,-78.0667,51.87,85,100,0.58,light rain
146,Gazli,UZ,40.1333,63.45,34.25,66,96,4.0,overcast clouds
147,Grindavik,IS,63.8424,-22.4338,30.67,93,100,35.68,heavy snow
148,Talaya,RU,61.3833,152.75,-18.53,79,3,0.45,clear sky
149,Strezhevoy,RU,60.7333,77.5889,-2.02,98,10,7.92,clear sky
150,Ambon,ID,-3.6954,128.1814,86.14,70,40,2.3,scattered clouds
151,Port Macquarie,AU,-31.4333,152.9167,75.88,55,66,15.88,broken clouds
152,Chokurdakh,RU,70.6333,147.9167,-40.41,99,75,2.91,broken clouds
153,Ilulissat,GL,69.2167,-51.1,-2.49,99,100,6.4,overcast clouds
154,San Patricio,US,28.017,-97.5169,59.68,82,100,10.83,overcast clouds
155,Nuuk,GL,64.1835,-51.7216,1.8,71,100,7.58,overcast clouds
156,Chapais,CA,49.7834,-74.8492,4.78,95,100,6.08,light snow
157,Luderitz,NA,-26.6481,15.1594,68.68,74,49,3.22,scattered clouds
158,Upernavik,GL,72.7868,-56.1549,-16.49,100,100,7.74,overcast clouds
159,Iqaluit,CA,63.7506,-68.5145,-36.31,73,0,3.0,clear sky
160,Talakan,RU,50.3167,130.3667,-1.21,90,100,0.58,overcast clouds
161,Manono,CD,-7.3,27.4167,67.3,99,100,2.3,light rain
162,Klaksvik,FO,62.2266,-6.589,32.92,51,100,20.38,overcast clouds
163,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,12,3.44,few clouds
164,Shakiso,ET,5.75,38.9167,53.98,37,14,4.07,few clouds
