City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Lahat,ID,72.45,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
259,Black River,JM,80.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
261,Kimbe,PG,77.29,light rain,-5.5502,150.1429,Kimbe Bay Hotel
262,Buchanan,LR,87.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
266,Sao Filipe,CV,75.13,clear sky,14.8961,-24.4956,Hotel Xaguate
272,Le Port,RE,80.6,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
273,Sao Jose Da Coroa Grande,BR,85.84,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
275,El Alto,PE,82.06,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
276,Cassilandia,BR,84.54,broken clouds,-19.1133,-51.7342,Delirius Motel
278,Kulhudhuffushi,MV,80.87,broken clouds,6.6221,73.07,Haajy Guest House 1
279,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
287,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
292,Malakal,SS,78.39,broken clouds,9.5334,31.6605,Nile Palace Hotel
296,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
300,Ewa Beach,US,73.69,clear sky,21.3156,-158.0072,Uncle Junior Robert
301,Caravelas,BR,86.36,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
305,Constitucion,CL,72.52,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
306,Namibe,AO,76.01,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
307,Fougamou,GA,82.02,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
308,Isla Mujeres,MX,75.25,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
309,Trelew,AR,79.34,scattered clouds,-43.249,-65.3051,Hotel Touring Club
310,Calama,CL,75.69,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
312,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
316,Boca Do Acre,BR,79.93,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
323,San Policarpo,PH,79.65,few clouds,12.1791,125.5072,Agapita M. Nicart
329,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
330,Bonthe,SL,85.32,clear sky,7.5264,-12.505,Bonthe Holiday Village
333,Rocha,UY,73.33,broken clouds,-34.4833,-54.3333,Hotel Arrarte
338,Isangel,VU,79.2,heavy intensity rain,-19.55,169.2667,Tanna Lodge
341,Panaba,MX,79.75,scattered clouds,21.2833,-88.2667,Hotel California
345,Ende,ID,78.53,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
347,Sabang,ID,78.84,overcast clouds,5.8933,95.3214,Hotel Citra
349,Alta Floresta,BR,83.77,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
353,Humberto De Campos,BR,82.26,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
361,Padang,ID,77.92,moderate rain,-0.9492,100.3543,Mercure Padang
362,La Palma,US,73.9,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
366,Touros,BR,90.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
367,Champerico,GT,90.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
368,Mayumba,GA,79.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
372,Berbera,SO,77.59,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
373,Georgetown,MY,77.95,scattered clouds,5.4112,100.3354,Cititel Penang
375,Sola,VU,81.3,overcast clouds,-13.8833,167.55,Leumerus Bungalows
376,Alyangula,AU,79.77,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
385,Basco,PH,72.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
